rank,id,title,upload_date,age_days,duration,views,vpd,outlier_x,likes,comments,engagement_pct,WxH,subs,auto_ko
1,IZDhVG3Spio,직장인의 감정 기복,2026-09-22,1.24,37,558233,450187.9,1.86,,516,0.92,3840x2160,,ko|ko-orig
2,BCJT5RkluvI,여름이여따,2026-09-18,5.24,42,407644,77794.7,1.36,,430,1.05,3840x2160,,ko|ko-orig
3,njC9X57Hjqw,휴가에서 누가 돌아왓햄,2026-09-15,8.24,35,281860,34206.3,0.94,,948,3.36,3840x2160,,ko
4,uZ3mV8oCObc,잠깐만 안녕!,2026-08-14,40.24,90,367481,9132.2,1.22,,2,0.01,3840x2160,,ko
5,tO22EaAEwsA,꼽을주면 곱으로 받는다,2026-07-31,54.24,25,330430,6092.0,1.1,,687,2.08,3840x2160,en|ja,ko|ko-orig
6,iUrnhZDyqBU,[약혐주의] 일상의 파괴자,2026-08-07,47.21,51,276525,5857.3,0.92,,1,0.0,1920x1080,en|ja,ko
7,TsXhvfQwjtE,궁극기 같은 모먼트,2026-08-11,43.24,50,224622,5194.8,0.75,,581,2.59,1920x1080,en|ja,ko|ko-orig
8,0tIvYgJYC9I,집에서 해 먹는 행위,2026-06-26,89.24,38,434070,4864.1,1.44,,632,1.46,2560x1440,en|ja,ko|ko-orig
9,RAUP1Hxaa1M,먹을게 있긴하다,2026-07-21,64.24,53,307348,4784.4,1.02,,707,2.3,3840x2160,en|ja,ko|ko-orig
10,WeOxwdkKGDQ,야르하지아니한가,2026-07-14,71.24,43,325587,4570.3,1.08,,489,1.5,3840x2160,en|ja,
11,p6JwfjDLpfg,익숙해지지 않는 것,2026-07-03,82.24,132,371471,4516.9,1.24,,2,0.01,1920x1080,en|ja,ko|ko-orig
12,nS5t0i4KXAM,직장인의 내적 푸념,2026-08-04,50.24,21,215874,4296.9,0.72,,442,2.05,1920x1080,en|ja,ko|ko-orig
13,ehaFJPO6aw8,금요일 다섯시 회의,2026-06-12,103.24,30,431657,4181.1,1.44,,787,1.82,2560x1440,en|ja,ko-orig|ko
14,MbmFyRU6LsI,불금의 맛이란,2026-07-24,61.24,24,253336,4136.8,0.84,,538,2.12,1920x1080,en|ja,ko|ko-orig
15,bRCkx9yXQJ0,습관적 다이어트,2026-05-22,124.24,58,448958,3613.6,1.49,,714,1.59,2560x1440,en|ja,ko-orig|ko
16,dIERMvHCImI,인생사 새옹지마,2026-06-30,85.24,94,278645,3268.9,0.93,,857,3.08,2560x1440,en|ja,ko|ko-orig
17,aXzweJD7JdM,종나 어려운 것,2026-07-10,75.24,29,236694,3145.9,0.79,,393,1.66,3840x2160,en|ja,ko|ko-orig
18,UkT1NEpFXDs,가무의 영역,2026-06-23,92.24,43,290126,3145.3,0.96,,717,2.47,2560x1440,en|ja,ko-orig|ko
19,CMgMfgzebec,[풀버전] 강남대로 인기짱 되는 법,2026-06-19,96.24,33,295131,3066.6,0.98,,451,1.53,2560x1440,en|ja,ko-orig|ko
20,nIRgEFc-pJ4,직장인의 제 1호흡 : 불,2026-05-19,127.24,46,371770,2921.8,1.24,,823,2.21,2560x1440,en|ja,ko-orig|ko
21,EY6vEIac2cE,딱히 기대되는 일도 아닌데,2026-06-09,106.24,44,306270,2882.8,1.02,,485,1.58,2560x1440,en|ja,ko-orig|ko
22,OfG7uhpHrNo,고점의 햄스터,2026-06-05,110.24,61,316673,2872.6,1.05,,796,2.51,2560x1440,en|ja,ko-orig|ko
23,2eKqnpcXLHc,아침형으로 산다는 것,2026-07-17,68.24,37,173141,2537.2,0.58,,319,1.84,3840x2160,en|ja,ko|ko-orig
24,hUsMfSic8rU,팝업스토어를 여는 햄스터가 있다?,2026-07-07,78.24,48,194847,2490.4,0.65,,406,2.08,3840x2160,,
25,sRZODyayId0,그냥 뭐 고맙다구요,2026-05-08,138.24,100,310428,2245.6,1.03,,1,0.0,2560x1440,en|ja,ko-orig|ko
26,4HmLNRnihj4,[특집] 김햄찌 몰아보기 2,2026-05-01,145.24,2283,326104,2245.3,1.08,,387,1.19,2560x1440,,ko-orig|ko
27,nNvZijENE9w,[MV] 오늘도 열심히 사는 당신을 위한 랩소디,2026-05-26,120.24,83,268304,2231.4,0.89,,1,0.0,1920x1080,,ko
28,NzNZIKo1bn0,줘패버릴 수 없을 때,2026-05-13,133.27,67,263305,1975.7,0.88,,758,2.88,2560x1440,en|ja,ko-orig|ko
29,USvE2Bx3GKQ,모든 스포일러가 나쁜건 아니다,2026-06-02,113.24,36,211375,1866.6,0.7,,382,1.81,2560x1440,en|ja,ko-orig|ko
30,lM7lI57bZe0,드디어 오셨군요,2026-05-12,134.24,26,219437,1634.7,0.73,,723,3.29,2560x1440,en|ja,ko-orig|ko
