컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
1,0.0,0.1,0.1,3,insert,CU(썸네일 프레임),cut,,full,edit,edit > still,clips/s01.mp4,0.5,,
2,0.1,0.667,0.567,17,hero,ECU(입·빵 매크로),cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s02.mp4,0.5,,
3,0.667,1.533,0.867,26,hero,MCU,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s03.mp4,0.5,,
4,1.533,6.333,4.8,144,hero,WS(바닥 초저각),cut,,full,재사용,생성 불필요,clips/s06.mp4,0.5,"x1.06@0.51,0.52",x1.06
5,6.333,7.533,1.2,36,hero,MS(약 2.2배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,5.3,"x2.38@0.35,0.40",
6,7.533,8.933,1.4,42,hero,WS,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s06.mp4,6.5,,
7,8.933,9.6,0.667,20,hero,MS(약 2배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,7.9,"x1.97@0.42,0.43",
8,9.6,13.367,3.767,113,hero,WS→MS(전진),cut,,full,i2v-fl,kling-v3 > viduq3-pro > seedance-2-5,clips/s08.mp4,0.5,,
9,13.367,14.4,1.033,31,hero,FS(전신),cut,,full,재사용,생성 불필요,clips/s21.mp4,0.5,"x1.71@0.46,0.44",x1.49
10,14.4,15.667,1.267,38,hero,MCU(약 2배 크롭),cut,,full,재사용,생성 불필요,clips/s21.mp4,1.533,"x3.83@0.44,0.30",
11,15.667,17.333,1.667,50,hero,FS→MS(전진),cut,,full,재사용,생성 불필요,clips/s21.mp4,2.8,"x1.05@0.47,0.47",x1.443
12,17.333,17.933,0.6,18,hero,MCU(약 1.8배 크롭),cut,,full,재사용,생성 불필요,clips/s21.mp4,4.467,"x1.9@0.47,0.32",
13,17.933,18.533,0.6,18,hero,FS,cut,,full,재사용,생성 불필요,clips/s21.mp4,5.067,"x1.76@0.47,0.37",
14,18.533,18.9,0.367,11,hero,MCU(약 1.6배 크롭),cut,,full,재사용,생성 불필요,clips/s21.mp4,5.667,"x1.94@0.47,0.31",
15,18.9,19.6,0.7,21,hero,FS,cut,,full,재사용,생성 불필요,clips/s21.mp4,6.034,"x1.23@0.45,0.44",x1.034
16,19.6,20.967,1.367,41,hero,MCU(약 2.2배 크롭),cut,,full,재사용,생성 불필요,clips/s21.mp4,6.734,"x2.44@0.45,0.31",x1.051
17,20.967,21.567,0.6,18,hero,FS,cut,,full,재사용,생성 불필요,clips/s21.mp4,8.101,"x1.33@0.45,0.45",x1.057
18,21.567,23.033,1.467,44,hero,MCU(약 2배 크롭),cut,,full,재사용,생성 불필요,clips/s21.mp4,8.701,"x2.98@0.48,0.36",x1.076
19,23.033,24.833,1.8,54,hero,FS,cut,,full,재사용,생성 불필요,clips/s21.mp4,10.168,"x1.59@0.47,0.44",
20,24.833,25.333,0.5,15,hero,MCU(약 2.7배 크롭),cut,,full,재사용,생성 불필요,clips/s21.mp4,11.968,"x4.3@0.50,0.50",x1.034
21,25.333,25.667,0.333,10,hero,FS → 렌즈 가림,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s21.mp4,12.468,,
22,25.667,26.1,0.433,13,hero,FS,cut,shake,full,i2v,kling-v3 > minimax-h3 > viduq3-pro,clips/s22.mp4,0.5,,
23,26.1,26.367,0.267,8,hero,CU(모션블러),cut,shake,full,i2v,viduq3-pro > kling-v3 > edit,clips/s23.mp4,0.5,,
24,26.367,26.7,0.333,10,insert,POV(나뒹굶),cut,shake,full,i2v,viduq3-pro > seedance-2-5 > edit,clips/s24.mp4,0.5,,
25,26.7,27.367,0.667,20,insert,POV(누운 시점),cut,push_in_slow|dip_out,full,still,still > edit,clips/s25.mp4,0.5,,
26,27.367,27.967,0.6,18,black,암전,cut,,full,edit,edit,clips/s26.mp4,0.5,,
27,27.967,28.833,0.867,26,black,암전,cut,,full,edit,edit,clips/s27.mp4,0.5,,
